2008-08-15 12:08:16 Notice: Notice (8): Undefined index:  Post in [APP/views/blogs/index.ctp, line 1]
2008-08-15 12:09:00 Notice: Notice (8): Undefined index:  id in [APP/views/blogs/index.ctp, line 1]
2008-08-15 12:26:08 Notice: Notice (8): Undefined index:  id in [APP/views/blogs/index.ctp, line 15]
2008-08-15 12:26:08 Notice: Notice (8): Undefined index:  id in [APP/views/blogs/index.ctp, line 17]
2008-08-15 12:26:08 Notice: Notice (8): Undefined index:  id in [APP/views/blogs/index.ctp, line 20]
2008-08-15 12:26:22 Notice: Notice (8): Undefined index:  id in [APP/views/blogs/index.ctp, line 15]
2008-08-15 12:26:22 Notice: Notice (8): Undefined index:  id in [APP/views/blogs/index.ctp, line 17]
2008-08-15 12:26:22 Notice: Notice (8): Undefined index:  id in [APP/views/blogs/index.ctp, line 20]
2008-08-15 12:30:19 Notice: Notice (8): Undefined index:  id in [APP/views/blogs/index.ctp, line 21]
2008-08-15 13:49:24 Notice: Notice (8): Use of undefined constant ’md5′ - assumed '’md5′' in [APP/controllers/users_controller.php, line 8]
2008-08-18 13:19:13 Notice: Notice (8): Undefined index:  id in [CORE/cake/libs/view/scaffolds/index.ctp, line 67]
2008-08-18 13:19:13 Notice: Notice (8): Undefined index:  id in [CORE/cake/libs/view/scaffolds/index.ctp, line 68]
2008-08-18 13:19:13 Notice: Notice (8): Undefined index:  id in [CORE/cake/libs/view/scaffolds/index.ctp, line 69]
2008-08-19 15:58:41 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/file.php, line 90]
2008-08-19 15:58:41 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/file.php, line 91]
2008-08-19 15:58:41 Notice: Notice (8): Undefined property: File::$primaryKey in [CORE/cake/libs/controller/scaffold.php, line 178]
2008-08-19 15:58:41 Notice: Notice (8): Undefined property: File::$displayField in [CORE/cake/libs/controller/scaffold.php, line 179]
2008-08-19 16:08:52 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/model/model.php, line 547]
2008-08-19 16:08:52 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/model/model.php, line 589]
2008-08-19 16:08:52 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/inflector.php, line 368]
2008-08-19 16:08:52 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/sanitize.php, line 58]
2008-08-19 16:09:43 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/model/model.php, line 547]
2008-08-19 16:09:43 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/model/model.php, line 589]
2008-08-19 16:09:43 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/inflector.php, line 368]
2008-08-19 16:09:43 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/sanitize.php, line 58]
2008-08-19 16:14:52 Notice: Notice (8): Undefined index:  user_id in [CORE/cake/libs/view/scaffolds/view.ctp, line 43]
2008-08-21 15:38:11 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/file.php, line 90]
2008-08-21 15:38:11 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/file.php, line 91]
2008-08-21 15:38:11 Notice: Notice (8): Undefined property: File::$primaryKey in [CORE/cake/libs/controller/scaffold.php, line 178]
2008-08-21 15:38:11 Notice: Notice (8): Undefined property: File::$displayField in [CORE/cake/libs/controller/scaffold.php, line 179]
2008-08-21 16:19:16 Notice: Notice (8): Undefined variable: javascript in [APP/controllers/pages_controller.php, line 12]
2008-08-21 16:20:42 Notice: Notice (8): Undefined variable: javascript in [APP/controllers/pages_controller.php, line 12]
2008-08-21 16:20:58 Notice: Notice (8): Undefined variable: javascript in [APP/controllers/pages_controller.php, line 12]
2008-08-21 17:57:12 Notice: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 19625 bytes in [CORE/cake/libs/cache/file.php, line 184]
2008-09-16 17:39:34 Notice: Notice (8): Undefined index:  Game in [APP/views/games/index.ctp, line 15]
2008-09-16 17:39:34 Notice: Notice (8): Undefined index:  Game in [APP/views/games/index.ctp, line 17]
2008-09-16 17:39:34 Notice: Notice (8): Undefined index:  Game in [APP/views/games/index.ctp, line 20]
2008-09-16 17:39:34 Notice: Notice (8): Undefined index:  Game in [APP/views/games/index.ctp, line 21]
2008-09-16 17:39:34 Notice: Notice (8): Undefined index:  Game in [APP/views/games/index.ctp, line 23]
2008-09-16 17:43:57 Notice: Notice (8): Undefined index:  title in [APP/views/games/index.ctp, line 17]
2008-09-16 17:43:57 Notice: Notice (8): Undefined index:  entry_id in [APP/views/games/index.ctp, line 17]
2008-09-16 17:43:57 Notice: Notice (8): Undefined index:  entry_id in [APP/views/games/index.ctp, line 20]
2008-09-16 17:43:58 Notice: Notice (8): Undefined index:  entry_id in [APP/views/games/index.ctp, line 21]
2008-09-16 17:43:58 Notice: Notice (8): Undefined index:  created in [APP/views/games/index.ctp, line 23]
2008-09-16 17:45:13 Notice: Notice (8): Undefined index:  created in [APP/views/games/index.ctp, line 23]
2008-09-16 17:46:33 Notice: Notice (8): Undefined index:  created in [APP/views/games/index.ctp, line 23]
2008-09-16 18:02:47 Notice: Notice (8): Undefined variable: blog in [APP/views/games/view.ctp, line 3]
2008-09-27 15:29:11 Notice: Notice (8): Undefined index:  Genre in [APP/views/games/view.ctp, line 5]
2008-09-27 15:52:55 Notice: Notice (8): Undefined property: Game::$download_status in [APP/models/game.php, line 78]
2008-09-27 15:52:55 Notice: Notice (8): Undefined property: Game::$download_status in [APP/models/game.php, line 78]
2008-09-27 15:53:25 Notice: Notice (8): Undefined variable: download_status in [APP/models/game.php, line 78]
2008-09-27 15:55:52 Notice: Notice (8): Undefined property: Game::$Game in [APP/models/game.php, line 78]
2008-09-27 15:55:52 Notice: Notice (8): Trying to get property of non-object in [APP/models/game.php, line 78]
2008-09-27 15:56:03 Notice: Notice (8): Undefined property: Game::$download_status in [APP/models/game.php, line 78]
2008-09-27 15:56:20 Notice: Notice (8): Undefined property: Game::$download_status in [APP/models/game.php, line 79]
2008-09-27 15:58:21 Notice: Notice (8): Undefined property: Game::$download_status in [APP/models/game.php, line 79]
2008-10-07 10:02:24 Notice: Notice (8): Undefined index:  Screenshots in [APP/views/games/view.ctp, line 21]
2008-10-07 10:02:38 Notice: Notice (8): Undefined index:  Screenshots in [APP/views/games/view.ctp, line 21]
2008-10-07 10:02:58 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:02:58 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:02:58 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:11:36 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:11:36 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:11:37 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:13:52 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:13:53 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:13:53 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:15:25 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:15:25 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:15:26 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:30:49 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:30:49 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:30:50 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:33:25 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:33:25 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:33:26 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:34:00 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:34:00 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:34:01 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:34:50 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:34:50 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:34:51 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:37:58 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
2008-10-07 10:37:59 Notice: Notice (8): Undefined index:   in [APP/views/games/view.ctp, line 5]
